Date,Price,Open,High,Low,Vol.,Change %
18-May-18,8239.00,"8,054.80","8,276.60","7,927.80",23.44K,2.32%
19-May-18,8232.30,"8,238.90","8,400.10","8,142.00",14.15K,-0.08%
20-May-18,8523.70,"8,230.90","8,580.00","8,171.50",15.50K,3.54%
21-May-18,8393.40,"8,523.70","8,586.90","8,317.70",17.22K,-1.53%
22-May-18,7977.30,"8,399.60","8,406.50","7,947.20",20.53K,-4.96%
23-May-18,7494.80,"7,978.00","8,020.00","7,442.10",41.68K,-6.05%
24-May-18,7576.70,"7,503.30","7,718.00","7,260.90",38.86K,1.09%
25-May-18,7458.00,"7,576.00","7,654.10","7,323.10",25.87K,-1.57%
26-May-18,7330.30,"7,456.70","7,621.70","7,286.10",13.81K,-1.71%
27-May-18,7339.70,"7,330.80","7,411.50","7,220.10",16.17K,0.13%
28-May-18,7097.90,"7,339.60","7,434.80","7,062.40",26.68K,-3.29%
29-May-18,7460.00,"7,104.00","7,527.90","7,048.60",27.90K,5.10%
30-May-18,7375.10,"7,465.30","7,557.50","7,279.60",22.08K,-1.14%
31-May-18,7485.80,"7,375.10","7,599.70","7,338.00",19.46K,1.50%
1-Jun-18,7521.00,"7,485.90","7,599.80","7,344.80",19.04K,0.47%
2-Jun-18,7638.10,"7,521.10","7,691.20","7,445.50",17.36K,1.56%
3-Jun-18,7718.00,"7,639.00","7,777.40","7,600.00",13.80K,1.05%
4-Jun-18,7488.30,"7,718.00","7,761.50","7,457.50",18.13K,-2.98%
5-Jun-18,7621.70,"7,487.90","7,669.00","7,372.90",16.84K,1.78%
6-Jun-18,7654.00,"7,621.90","7,698.00","7,495.20",18.27K,0.42%
7-Jun-18,7688.90,"7,653.90","7,756.10","7,645.80",11.04K,0.46%
8-Jun-18,7615.10,"7,685.70","7,697.00","7,544.00",12.20K,-0.96%
9-Jun-18,7498.60,"7,615.20","7,684.90","7,467.70",7.22K,-1.53%
10-Jun-18,6757.30,"7,498.10","7,498.10","6,633.90",57.82K,-9.89%
11-Jun-18,6873.30,"6,757.30","6,897.00","6,631.00",22.38K,1.72%
12-Jun-18,6543.90,"6,873.20","6,873.20","6,441.00",32.01K,-4.79%
13-Jun-18,6295.20,"6,543.10","6,611.70","6,125.70",45.58K,-3.80%
14-Jun-18,6633.70,"6,295.10","6,703.40","6,269.50",33.06K,5.38%
15-Jun-18,6385.00,"6,638.00","6,655.50","6,360.30",21.29K,-3.75%
16-Jun-18,6485.90,"6,386.20","6,557.20","6,330.00",13.70K,1.58%
17-Jun-18,6435.70,"6,491.00","6,573.00","6,426.90",9.44K,-0.77%
18-Jun-18,6709.20,"6,443.50","6,826.80","6,378.60",26.37K,4.25%
19-Jun-18,6737.50,"6,711.60","6,832.90","6,666.20",17.38K,0.42%
20-Jun-18,6760.40,"6,732.70","6,818.20","6,560.00",18.71K,0.34%
21-Jun-18,6713.50,"6,760.00","6,787.10","6,680.10",10.65K,-0.69%
22-Jun-18,6042.60,"6,715.20","6,730.70","5,929.10",55.25K,-9.99%
23-Jun-18,6152.00,"6,041.00","6,253.90","6,014.00",20.70K,1.81%
24-Jun-18,6148.00,"6,151.90","6,249.70","5,762.90",45.50K,-0.06%
25-Jun-18,6246.60,"6,146.10","6,334.20","6,082.10",27.91K,1.60%
26-Jun-18,6078.50,"6,250.80","6,273.70","6,050.20",18.83K,-2.69%
27-Jun-18,6133.10,"6,073.50","6,181.40","5,989.00",18.27K,0.90%
28-Jun-18,5850.00,"6,133.10","6,167.70","5,829.90",17.94K,-4.62%
29-Jun-18,6208.10,"5,848.10","6,273.00","5,782.90",33.93K,6.12%
30-Jun-18,6391.50,"6,208.20","6,518.10","6,195.80",23.86K,2.95%
1-Jul-18,6349.70,"6,391.50","6,435.00","6,260.20",11.38K,-0.65%
2-Jul-18,6581.30,"6,617.60","6,672.40","6,539.00",26.92K,3.65%
3-Jul-18,6500.00,"6,617.60","6,672.40","6,470.50",17.26K,-1.24%
4-Jul-18,6590.00,"6,509.00","6,778.30","6,418.70",22.49K,1.38%
5-Jul-18,6540.20,"6,589.90","6,697.70","6,452.00",23.13K,-0.76%
6-Jul-18,6602.10,"6,531.60","6,636.90","6,452.90",14.95K,0.95%
7-Jul-18,6761.70,"6,602.20","6,826.10","6,511.50",15.29K,2.42%
8-Jul-18,6707.00,"6,761.80","6,790.80","6,669.10",13.71K,-0.81%
9-Jul-18,6666.70,"6,705.90","6,820.00","6,617.10",16.30K,-0.60%
10-Jul-18,6301.50,"6,666.90","6,680.10","6,269.30",28.02K,-5.48%
11-Jul-18,6377.80,"6,299.00","6,402.80","6,287.70",16.41K,1.21%
12-Jul-18,6249.00,"6,377.70","6,377.70","6,080.80",24.98K,-2.02%
13-Jul-18,6220.00,"6,240.60","6,335.10","6,133.40",20.09K,-0.46%
14-Jul-18,6250.10,"6,219.70","6,320.00","6,179.30",8.90K,0.48%
15-Jul-18,6347.20,"6,250.00","6,388.90","6,232.30",10.99K,1.55%
16-Jul-18,6729.20,"6,347.70","6,750.00","6,328.90",31.00K,6.02%
17-Jul-18,7319.80,"6,734.30","7,462.90","6,667.40",48.12K,8.78%
18-Jul-18,7379.40,"7,320.00","7,586.50","7,249.90",39.62K,0.81%
19-Jul-18,7473.50,"7,379.80","7,559.90","7,282.90",22.19K,1.28%
20-Jul-18,7333.10,"7,473.60","7,681.00","7,278.20",32.74K,-1.88%
21-Jul-18,7403.30,"7,333.00","7,458.00","7,221.00",11.41K,0.96%
22-Jul-18,7400.50,"7,403.40","7,572.70","7,338.90",17.17K,-0.04%
23-Jul-18,7719.80,"7,397.70","7,800.70","7,374.10",47.52K,4.31%
24-Jul-18,8394.50,"7,719.80","8,500.20","7,692.30",64.68K,8.74%
25-Jul-18,8176.00,"8,380.00","8,485.70","8,073.00",36.97K,-2.60%
26-Jul-18,7939.00,"8,178.40","8,313.10","7,869.80",32.78K,-2.90%
27-Jul-18,8185.70,"7,933.50","8,280.30","7,815.10",34.22K,3.11%
