Date,Price,Open,High,Low,Vol.,Change %
17-Feb-17,0.00587,0.00593,0.00611,0.00546,21.69M,-1.01%
18-Feb-17,0.00554,0.00587,0.006,0.005,18.67M,-5.62%
19-Feb-17,0.00591,0.00554,0.00591,0.00551,3.77M,6.68%
20-Feb-17,0.00596,0.00591,0.00597,0.00566,3.71M,0.85%
21-Feb-17,0.00585,0.00596,0.00596,0.00571,2.74M,-1.85%
22-Feb-17,0.00583,0.00585,0.00595,0.00581,3.01M,-0.34%
23-Feb-17,0.00585,0.00583,0.00594,0.00574,5.24M,0.34%
24-Feb-17,0.0056,0.00585,0.00595,0.0055,3.37M,-4.27%
25-Feb-17,0.00563,0.0056,0.00583,0.0056,1.28M,0.54%
26-Feb-17,0.0057,0.00563,0.0057,0.00562,359.51K,1.24%
27-Feb-17,0.00556,0.0057,0.0057,0.00556,2.21M,-2.46%
28-Feb-17,0.00557,0.00556,0.0057,0.00531,10.24M,0.18%
1-Mar-17,0.00539,0.00557,0.00558,0.00525,10.22M,-3.23%
2-Mar-17,0.00606,0.00539,0.00635,0.00531,39.64M,12.43%
3-Mar-17,0.00649,0.00606,0.00651,0.00592,19.14M,7.10%
4-Mar-17,0.0062,0.00649,0.00668,0.0062,9.18M,-4.47%
5-Mar-17,0.00604,0.0062,0.0063,0.00601,4.95M,-2.58%
6-Mar-17,0.00604,0.00604,0.00618,0.00599,2.85M,0.00%
7-Mar-17,0.00673,0.00604,0.00687,0.00589,23.05M,11.42%
8-Mar-17,0.0065,0.00673,0.00692,0.00644,27.94M,-3.42%
9-Mar-17,0.00648,0.0065,0.0066,0.00632,20.21M,-0.31%
10-Mar-17,0.00617,0.00648,0.00669,0.0058,36.46M,-4.78%
11-Mar-17,0.00625,0.00617,0.00642,0.00606,12.92M,1.30%
12-Mar-17,0.00632,0.00625,0.00634,0.00602,8.44M,1.12%
13-Mar-17,0.00644,0.00632,0.00648,0.00615,22.84M,1.90%
14-Mar-17,0.00639,0.00644,0.00644,0.00626,8.75M,-0.78%
15-Mar-17,0.00625,0.00639,0.00642,0.00625,11.10M,-2.19%
16-Mar-17,0.0063,0.00625,0.00636,0.00601,48.73M,0.80%
17-Mar-17,0.00597,0.0063,0.00634,0.00576,38.08M,-5.24%
18-Mar-17,0.00688,0.00597,0.00731,0.00597,83.74M,15.24%
19-Mar-17,0.00669,0.00688,0.0072,0.00642,29.31M,-2.76%
20-Mar-17,0.0069,0.00669,0.00705,0.00645,27.29M,3.14%
21-Mar-17,0.00682,0.0069,0.00705,0.00663,23.22M,-1.16%
22-Mar-17,0.00719,0.00682,0.00758,0.00679,36.09M,5.43%
23-Mar-17,0.011,0.00719,0.011,0.00719,100.13M,52.99%
24-Mar-17,0.01062,0.011,0.01182,0.00815,152.90M,-3.45%
25-Mar-17,0.00888,0.01062,0.01084,0.00879,67.23M,-16.38%
26-Mar-17,0.00937,0.00888,0.00982,0.00888,24.65M,5.52%
27-Mar-17,0.00943,0.00937,0.01025,0.009,42.15M,0.64%
28-Mar-17,0.00955,0.00943,0.00965,0.00906,25.36M,1.27%
29-Mar-17,0.01015,0.00955,0.01015,0.00946,22.50M,6.28%
30-Mar-17,0.01383,0.01015,0.0147,0.01015,104.84M,36.26%
31-Mar-17,0.0214,0.01383,0.02254,0.01315,248.27M,54.74%
1-Apr-17,0.022,0.0214,0.02323,0.01968,86.88M,2.80%
2-Apr-17,0.0615,0.022,0.0695,0.0075,443.13M,179.55%
3-Apr-17,0.03201,0.0615,0.062,0.025,292.83M,-47.95%
4-Apr-17,0.03787,0.03201,0.0429,0.0269,159.38M,18.31%
5-Apr-17,0.03559,0.03787,0.04108,0.035,105.01M,-6.02%
6-Apr-17,0.0332,0.03559,0.03728,0.029,110.95M,-6.72%
7-Apr-17,0.03715,0.0332,0.03873,0.03086,102.12M,11.90%
8-Apr-17,0.03575,0.03715,0.0378,0.03515,58.14M,-3.77%
9-Apr-17,0.03421,0.03575,0.03578,0.03251,32.77M,-4.31%
10-Apr-17,0.03404,0.03421,0.0359,0.0332,28.36M,-0.50%
11-Apr-17,0.03316,0.03404,0.03513,0.032,29.82M,-2.59%
12-Apr-17,0.03455,0.03316,0.0356,0.0322,41.02M,4.19%
13-Apr-17,0.03422,0.03455,0.03562,0.0337,41.25M,-0.96%
14-Apr-17,0.03348,0.03422,0.03525,0.033,23.63M,-2.16%
15-Apr-17,0.03381,0.03348,0.03451,0.03315,15.50M,0.99%
16-Apr-17,0.03306,0.03381,0.03395,0.03251,13.40M,-2.22%
17-Apr-17,0.03333,0.03306,0.03386,0.03246,19.19M,0.82%
18-Apr-17,0.03281,0.03333,0.03419,0.0322,26.07M,-1.56%
19-Apr-17,0.03035,0.03281,0.03319,0.02816,35.03M,-7.50%
20-Apr-17,0.02999,0.03035,0.03104,0.02643,64.21M,-1.19%
21-Apr-17,0.03355,0.02999,0.0347,0.02945,82.64M,11.87%
22-Apr-17,0.0316,0.03355,0.03401,0.03033,27.76M,-5.81%
23-Apr-17,0.03141,0.0316,0.03214,0.03102,21.20M,-0.60%
24-Apr-17,0.03151,0.03141,0.032,0.0309,16.87M,0.32%
25-Apr-17,0.03224,0.03151,0.03421,0.03108,38.80M,2.32%
26-Apr-17,0.03275,0.03224,0.03392,0.03224,34.44M,1.58%
27-Apr-17,0.03523,0.03275,0.0368,0.03225,45.28M,7.57%
28-Apr-17,0.045,0.03523,0.04612,0.03487,120.54M,27.73%
29-Apr-17,0.05383,0.045,0.05952,0.04499,124.59M,19.62%
30-Apr-17,0.05218,0.05383,0.05499,0.04902,51.99M,-3.07%
1-May-17,0.05383,0.05218,0.05811,0.04903,77.80M,3.16%
2-May-17,0.05382,0.05383,0.05527,0.0505,38.67M,-0.02%
3-May-17,0.06108,0.05382,0.06199,0.05245,63.35M,13.49%
4-May-17,0.08,0.06108,0.08793,0.06,177.35M,30.98%
5-May-17,0.09139,0.08,0.105,0.07776,168.24M,14.24%
6-May-17,0.1001,0.09139,0.1039,0.09029,76.32M,9.53%
7-May-17,0.1391,0.1001,0.155,0.09725,141.56M,38.96%
8-May-17,0.1917,0.1391,0.224,0.1121,196.52M,37.81%
9-May-17,0.1564,0.1917,0.207,0.112,93.83M,-18.41%
